Participant_ID,RowNumber,session_id,age,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,gender,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,kposition,kratio,lposition,lratio,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nposition,nratio,pate_01,pate_02,pate_03,pate_04,pate_05,rposition,rratio,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,vposition,vratio,year,Temperatureinlab,ClipboardWeight,IIResponse,SRConfidenceResponse,NumberofDays,Pool2a,Pool2b,Pool2c,Pool2d,Pool3,Pool4,Pool5a,Pool6,Pool7b,Pool7c,Pool7d,Pool8,Pool9,Pool10,Pool11,Pool12,Pool13,Pool14,Pool15,Pool16a,Pool16b,Pool17,Pool18,Pool19a,Pool19b,Persistence,anagrams_order,attention_order,availinstruct_order,availk_order,availl_order,availn_order,availr_order,availv_order,bigfive_order,debrief_order,demographics_order,elmques_order,filler1_order,filler2_order,galinskyvignette_order,inlab_order,intrinsic_order,mcfiller_order,moninvignette_order,mood_order,nfc_order,participantid_order,participation_order,selfesteem_order,startpage_order,stress_order,stroop_order,stroopinstructions_order,stroopinstructionstest_order,stroopprac_order,tempestimate_order,tempfollowup_order,welcome_order,MonthComputer,DayComputer,YearComputer,DaysSinceMonthComputer,DaysSinceAugComputer,DaysSinceMonthLab,DaysSinceAugLab,DaysSinceMonthStart,DaysSinceAugStart,DaysInComp,DaysInLab,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Intrinsic,Mood,NFC,ReportedAttention,ReportedEffort,SelfEsteem,Stress,K1st,L1st,N1st,R1st,V1st,AvailFirst,ArgumentQuality,NFCcenter,ELMCond,CBReject
12.0,170,7385046,19.0,357.0,330.0,354.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,7.0,7.0,7.0,6.0,6.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,14.0,2.0,18.0,0.0,3.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,6.0,4.0,4.0,1.0,1.0,1.0,2.0,15.0,4.0,4.0,3.0,2.0,3.0,4.0,6.0,2.0,7.0,7.0,6.0,1.0,3.0,2.0,74.0,20.0,6.0,5.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,113.0000025,17.0,28.0,7,12,11,8,9,10,33.0,36.0,35.0,26,22,23,24,16.0,30.0,14,15,32.0,29.0,37.0,34.0,31.0,0,27.0,6.0,3,5.0,4,20,19,1,8,29,14,0,29,0.0,29.0,0,25,0.043478261,0.043478261,4.0,6.5,5.0,5.0,4.0,2.666666667,5.0,2.5,4.0,4.0,4.0,3.5,0.0,0.0,1.0,0.0,1.0,2.0,6.6,-0.682539683,1,0.0
13.0,173,7385155,18.0,357.0,330.0,354.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,3.0,5.0,7.0,7.0,2.0,7.0,2.0,1.0,1.0,7.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,8654.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,8.0,3.0,1.0,4.0,2.0,2.0,5.0,6.0,4.0,7.0,7.0,1.0,1.0,8.0,1.0,74.0,10.0,7.0,5.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,153.9999989,2.0,30.0,13,16,18,17,14,15,32.0,36.0,35.0,5,20,21,22,23.0,28.0,25,26,33.0,27.0,37.0,31.0,29.0,0,34.0,9.0,6,8.0,7,12,11,1,8,29,14,0,29,0.0,29.0,0,25,0.043478261,0.043478261,1.5,7.0,2.0,2.5,7.0,2.5333333330000003,7.0,2.333333333,5.0,5.0,1.0,4.25,0.0,0.0,1.0,1.0,1.0,3.0,9.0,-0.849206349,1,0.0
14.0,179,7391990,18.0,357.0,130.0,354.0,351.0,248.0,245.0,242.0,139.0,136.0,133.0,7.0,6.0,7.0,5.0,7.0,3.0,7.0,1.0,7.0,2.0,9.0,9.0,9.0,9.0,7.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,30.0,2.0,30.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,30.0,4.0,5.0,1.0,1.0,1.0,2.0,30.0,1.0,7.0,1.0,5.0,5.0,3.0,7.0,3.0,7.0,7.0,6.0,2.0,30.0,1.0,72.0,20.0,7.0,5.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,239.9999932,26.0,29.0,20,24,25,22,23,21,27.0,36.0,35.0,19,7,8,9,16.0,28.0,14,15,33.0,30.0,37.0,32.0,34.0,0,31.0,5.0,2,4.0,3,12,11,1,9,2,14,31,33,31.0,33.0,0,25,0.086956522,0.086956522,6.5,7.0,6.0,4.5,3.0,3.133333333,6.5,3.666666667,4.0,5.0,7.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.484126984,1,0.0
15.0,180,7392153,18.0,357.0,330.0,354.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,7.0,4.0,5.0,5.0,5.0,1.0,7.0,3.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,7.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,6.0,6.0,5.0,2.0,5.0,1.0,73.0,10.0,7.0,4.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,79.00000401,6.0,28.0,14,19,17,16,15,18,34.0,36.0,35.0,25,21,22,23,10.0,33.0,8,9,30.0,27.0,37.0,29.0,32.0,0,31.0,5.0,2,4.0,3,13,12,1,9,2,14,31,33,31.0,33.0,0,25,0.086956522,0.086956522,5.5,5.0,7.0,5.5,4.0,2.2,5.5,2.5,4.0,3.0,2.0,4.25,0.0,0.0,0.0,1.0,0.0,1.0,5.2,-0.682539683,1,0.0
16.0,185,7392233,18.0,357.0,330.0,354.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,5.0,5.0,7.0,3.0,6.0,5.0,7.0,2.0,5.0,3.0,5.0,3.0,6.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,35.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,20.0,5.0,5.0,1.0,1.0,2.0,2.0,40.0,6.0,5.0,3.0,4.0,4.0,2.0,6.0,2.0,7.0,7.0,7.0,2.0,30.0,1.0,73.0,20.0,7.0,4.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,240.0000014,6.0,30.0,21,23,25,24,26,22,34.0,36.0,35.0,19,9,10,11,20.0,29.0,16,17,33.0,31.0,37.0,27.0,32.0,0,28.0,5.0,2,4.0,3,14,13,1,9,2,14,31,33,31.0,33.0,0,25,0.086956522,0.086956522,5.5,6.5,4.0,5.0,3.0,2.666666667,6.0,3.5,5.0,5.0,5.0,2.25,1.0,0.0,0.0,0.0,0.0,1.0,4.2,0.317460317,1,0.0
17.0,195,7392698,24.0,357.0,330.0,354.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,6.0,5.0,3.0,2.0,6.0,5.0,2.0,3.0,6.0,5.0,7.0,8.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,10.0,1.0,10.0,-2.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,10.0,2.0,4.0,1.0,1.0,3.0,1.0,10.0,2.0,5.0,4.0,3.0,4.0,3.0,6.0,4.0,6.0,5.0,4.0,2.0,10.0,2.0,73.0,10.0,2.0,4.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,151.9999947,18.0,30.0,11,15,14,13,16,12,28.0,36.0,35.0,3,20,21,22,4.0,27.0,9,10,32.0,33.0,37.0,29.0,31.0,0,34.0,26.0,23,25.0,24,7,6,1,9,2,14,31,33,31.0,33.0,0,25,0.086956522,0.086956522,4.5,4.0,4.5,2.5,2.0,2.666666667,5.0,3.0,2.0,4.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,5.6,-0.182539683,1,0.0
19.0,197,7392875,18.0,357.0,330.0,354.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,3.0,4.0,5.0,6.0,3.0,5.0,2.0,1.0,4.0,5.0,6.0,7.0,5.0,6.0,7.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,7.0,1.0,13.0,1.0,2.0,2.0,0.0,2.0,6.0,6.0,4.0,1.0,2.0,5.0,4.0,2.0,2.0,14.0,4.0,4.0,1.0,1.0,2.0,2.0,20.0,3.0,2.0,5.0,3.0,2.0,4.0,5.0,3.0,6.0,7.0,5.0,2.0,20.0,1.0,73.0,10.0,6.0,5.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,240.000002,9.0,27.0,14,18,19,15,17,16,28.0,36.0,35.0,3,24,25,26,10.0,32.0,12,13,30.0,33.0,37.0,34.0,31.0,0,29.0,8.0,5,7.0,6,22,21,1,9,2,14,31,33,31.0,33.0,0,25,0.086956522,0.086956522,3.0,6.0,3.0,3.0,5.0,2.866666667,2.0,4.333333333,4.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,6.2,1.1507936509999999,-1,0.0
20.0,201,7397218,19.0,357.0,330.0,354.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,6.0,4.0,7.0,7.0,8.0,7.0,8.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,5.0,2.0,8.0,-1.0,-1.0,1.0,0.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,10.0,4.0,4.0,1.0,1.0,2.0,1.0,10.0,5.0,5.0,3.0,4.0,3.0,3.0,6.0,3.0,7.0,7.0,6.0,2.0,5.0,1.0,74.0,20.0,6.0,5.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,240.000002,17.0,27.0,11,13,14,12,16,15,31.0,36.0,35.0,3,20,21,22,18.0,32.0,5,6,30.0,34.0,37.0,29.0,33.0,0,28.0,10.0,7,9.0,8,25,24,1,9,4,14,31,35,31.0,35.0,0,25,0.10869565199999999,0.10869565199999999,4.5,5.0,3.0,4.0,3.5,2.266666667,4.0,2.666666667,4.0,4.0,5.0,2.75,1.0,0.0,0.0,1.0,0.0,2.0,7.4,-0.515873016,1,0.0
21.0,205,7397377,20.0,357.0,330.0,354.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,6.0,5.0,5.0,2.0,5.0,3.0,6.0,3.0,4.0,2.0,7.0,8.0,7.0,6.0,6.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,-1.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,6.0,3.0,6.0,6.0,6.0,1.0,2.0,2.0,75.0,10.0,6.0,5.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,221.00000260000002,19.0,27.0,2,6,3,4,7,5,31.0,36.0,35.0,25,9,10,11,20.0,34.0,13,14,28.0,29.0,37.0,30.0,33.0,0,32.0,18.0,15,17.0,16,23,22,1,9,4,14,31,35,31.0,35.0,0,25,0.10869565199999999,0.10869565199999999,5.5,5.0,5.5,4.5,3.0,2.6,6.0,2.833333333,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,6.8,-0.34920634899999997,-1,1.0
22.0,209,7397497,18.0,357.0,330.0,354.0,351.0,348.0,245.0,342.0,339.0,336.0,333.0,7.0,3.0,7.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,6.0,3.0,1.0,4.0,5.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,2.0,15.0,1.0,8.0,1.0,2.0,2.0,0.0,1.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,11.0,4.0,5.0,1.0,1.0,2.0,1.0,8.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,6.0,6.0,4.0,2.0,12.0,1.0,75.0,20.0,7.0,4.0,92,1,0,0,0,3.0,0.25,0.0,0,0,0,0,1,1.0,1.0,3.0,15.0,160,500.0,30.0,1,0,1,0,1,0.125,155.0000017,2.0,33.0,14,15,17,19,18,16,30.0,36.0,35.0,8,11,12,13,23.0,31.0,21,22,32.0,34.0,37.0,28.0,29.0,0,27.0,6.0,3,5.0,4,26,25,1,9,4,14,31,35,31.0,35.0,0,25,0.10869565199999999,0.10869565199999999,5.0,6.0,7.0,5.5,4.0,2.933333333,3.0,3.0,4.0,5.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,3.8,-0.182539683,-1,0.0
