Participant_ID,RowNumber,session_id,age,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,gender,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,kposition,kratio,lposition,lratio,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nposition,nratio,pate_01,pate_02,pate_03,pate_04,pate_05,rposition,rratio,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,vposition,vratio,year,Temperatureinlab,ClipboardWeight,IIResponse,SRConfidenceResponse,NumberofDays,Pool2a,Pool2b,Pool2c,Pool2d,Pool3,Pool4,Pool5a,Pool6,Pool7b,Pool7c,Pool7d,Pool8,Pool9,Pool10,Pool11,Pool12,Pool13,Pool14,Pool15,Pool16a,Pool16b,Pool17,Pool18,Pool19a,Pool19b,Persistence,anagrams_order,attention_order,availinstruct_order,availk_order,availl_order,availn_order,availr_order,availv_order,bigfive_order,debrief_order,demographics_order,elmques_order,filler1_order,filler2_order,galinskyvignette_order,inlab_order,intrinsic_order,mcfiller_order,moninvignette_order,mood_order,nfc_order,participantid_order,participation_order,selfesteem_order,startpage_order,stress_order,stroop_order,stroopinstructions_order,stroopinstructionstest_order,stroopprac_order,tempestimate_order,tempfollowup_order,welcome_order,MonthComputer,DayComputer,YearComputer,DaysSinceMonthComputer,DaysSinceAugComputer,DaysSinceMonthLab,DaysSinceAugLab,DaysSinceMonthStart,DaysSinceAugStart,DaysInComp,DaysInLab,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Intrinsic,Mood,NFC,ReportedAttention,ReportedEffort,SelfEsteem,Stress,K1st,L1st,N1st,R1st,V1st,AvailFirst,ArgumentQuality,NFCcenter,ELMCond,CBReject
42.0,1590.0,7641581.0,19.0,358.0,340.0,356.0,354.0,495.0,544.0,348.0,346.0,344.0,342.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,1.0,4.0,5.0,4.0,4.0,6.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,2.0,3.0,3.0,4.0,6.0,2.0,6.0,4.0,4.0,2.0,1.0,2.0,72.0,20.0,7.0,5.0,106.0,1.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,40.0,900.0,6200.0,500.0,1.0,0.0,2.0,1.0,1.0,0.66,224.00000079999998,26.0,29.0,7.0,10.0,9.0,23.0,12.0,11.0,33.0,36.0,35.0,25.0,21.0,22.0,23.0,19.0,27.0,17.0,18.0,32.0,31.0,37.0,34.0,28.0,0.0,30.0,6.0,3.0,25.0,4.0,15.0,14.0,1.0,11.0,11.0,14.0,92.0,95.0,61.0,130.0,0.0,34.0,0.70754717,0.0,5.0,5.0,5.0,5.0,4.0,2.666666667,4.0,2.833333333,3.0,3.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,4.6,-0.34920634899999997,-1.0,0.0
76.0,76.0,682325.0,20.0,357.0,320.0,1063234.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,7.0,5.0,6.0,3.0,6.0,3.0,6.0,2.0,2.0,1.0,6.0,4.0,5.0,5.0,6.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,453.0,-1.0,-1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,6.0,3.0,4.0,1.0,3.0,5.0,1.0,5.0,2.0,6.0,2.0,4.0,4.0,2.0,4.0,2.0,6.0,6.0,5.0,1.0,5.0,1.0,71.0,20.0,5.0,5.0,104.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,25.0,150.0,750.0,94.0,1.0,0.0,3.0,0.0,0.0,0.0,148.0,26.0,27.0,10.0,15.0,11.0,14.0,13.0,12.0,29.0,36.0,35.0,10.0,23.0,24.0,26.0,5.0,30.0,17.0,18.0,33.0,32.0,37.0,28.0,34.0,0.0,31.0,26.0,6.0,8.0,7.0,26.0,20.0,1.0,11.0,24.0,14.0,92.0,116.0,92.0,116.0,0.0,27.0,0.0,0.8557692309999999,6.5,6.0,6.0,4.5,2.5,3.2,3.0,3.833333333,3.0,4.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,5.2,0.650793651,,0.0
112.0,2250.0,7604772.0,19.0,357.0,330.0,354.0,703.0,348.0,345.0,342.0,649.0,336.0,333.0,5.0,5.0,7.0,5.0,6.0,5.0,4.0,1.0,5.0,2.0,6.0,4.0,6.0,5.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0,17.0,1.0,2.0,-2.0,0.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,53.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,41.0,20.0,7.0,4.0,103.0,0.0,1.0,0.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,275.0,14799.0,50.0,1.0,1.0,3.0,1.0,1.0,0.125,112.00000039999999,26.0,34.0,2.0,23.0,5.0,7.0,6.0,3.0,21.0,36.0,35.0,16.0,18.0,19.0,20.0,21.0,31.0,9.0,10.0,32.0,28.0,37.0,33.0,29.0,0.0,28.0,14.0,23.0,13.0,12.0,24.0,23.0,1.0,12.0,2.0,14.0,122.0,124.0,122.0,124.0,0.0,28.0,0.0,0.932038835,6.0,6.0,4.0,3.5,4.0,3.066666667,6.0,3.666666667,3.0,5.0,5.0,2.75,0.0,1.0,1.0,0.0,1.0,3.0,5.4,0.484126984,-1.0,0.0
155.0,2504.0,7538668.0,20.0,357.0,330.0,354.0,705.0,348.0,345.0,342.0,339.0,336.0,333.0,5.0,1.0,6.0,5.0,7.0,4.0,7.0,1.0,6.0,3.0,5.0,1.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,30.0,2.0,30.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,40.0,3.0,4.0,1.0,1.0,3.0,2.0,40.0,5.0,6.0,4.0,5.0,2.0,3.0,5.0,3.0,6.0,7.0,3.0,2.0,35.0,2.0,73.0,10.0,7.0,4.0,95.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,68.0,520.0,3120.0,500.0,1.0,0.0,1.0,0.0,1.0,0.09,144.0,12.0,27.0,13.0,16.0,14.0,18.0,17.0,23.0,21.0,36.0,35.0,20.0,24.0,7.0,8.0,21.0,29.0,3.0,4.0,31.0,28.0,37.0,27.0,28.0,0.0,32.0,26.0,23.0,25.0,24.0,11.0,10.0,1.0,11.0,4.0,14.0,92.0,96.0,92.0,96.0,31.0,32.0,0.673684211,0.673684211,5.0,5.0,4.5,7.0,3.5,3.066666667,4.0,2.833333333,3.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,-0.34920634899999997,1.0,1.0
66.0,1513.0,7529890.0,19.0,357.0,330.0,354.0,351.0,348.0,345.0,171432.0,339.0,2000220.0,333.0,7.0,1.0,3.0,2.0,5.0,1.0,7.0,1.0,5.0,5.0,7.0,6.0,8.0,5.0,6.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,5.0,1.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,20.0,4.0,4.0,1.0,1.0,4.0,2.0,20.0,5.0,6.0,4.0,4.0,2.0,2.0,4.0,2.0,6.0,6.0,4.0,1.0,5.0,1.0,71.0,20.0,5.0,5.0,94.0,1.0,1.0,0.0,1.0,3.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,100.0,650.0,7800.0,100.0,1.0,0.0,3.0,1.0,0.0,0.0,147.0000004,17.0,30.0,10.0,13.0,15.0,14.0,12.0,11.0,32.0,36.0,35.0,19.0,3.0,4.0,5.0,9.0,29.0,25.0,26.0,29.0,33.0,37.0,31.0,28.0,0.0,27.0,23.0,20.0,22.0,24.0,8.0,7.0,1.0,10.0,12.0,14.0,61.0,91.0,61.0,91.0,31.0,33.0,0.0,0.617021277,4.0,3.0,7.0,6.5,2.5,2.8,6.0,2.666666667,5.0,4.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,6.4,-0.515873016,-1.0,0.0
119.0,505.0,7426251.0,20.0,357.0,330.0,354.0,351.0,348.0,590.0,342.0,339.0,336.0,333.0,4.0,1.0,6.0,3.0,6.0,5.0,7.0,1.0,6.0,4.0,8.0,6.0,4.0,6.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,14.0,2.0,15.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,11.0,5.0,5.0,2.0,3.0,3.0,2.0,20.0,5.0,5.0,2.0,4.0,3.0,3.0,6.0,2.0,7.0,5.0,3.0,1.0,5.0,3.0,72.0,10.0,4.0,3.0,88.0,1.0,1.0,0.0,0.0,7.0,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,104.0,2988.0,17500.0,50.0,1.0,0.0,3.0,1.0,1.0,0.15,240.000002,16.0,33.0,5.0,7.0,6.0,23.0,10.0,8.0,34.0,36.0,31.0,26.0,13.0,14.0,26.0,13.0,27.0,3.0,4.0,30.0,28.0,37.0,29.0,28.0,0.0,32.0,20.0,17.0,19.0,18.0,23.0,22.0,1.0,9.0,17.0,14.0,31.0,48.0,31.0,130.0,31.0,39.0,0.102272727,0.102272727,3.0,6.0,3.5,7.0,2.5,2.733333333,5.0,3.333333333,5.0,5.0,5.0,2.5,0.0,0.0,1.0,0.0,1.0,3.0,8.0,0.150793651,-1.0,0.0
126.0,1021.0,7476809.0,25.0,357.0,330.0,354.0,351.0,348.0,345.0,2139677.0,339.0,336.0,333.0,2.0,2.0,4.0,2.0,5.0,6.0,7.0,7.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,65.0,2.0,18.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,7.0,4.0,4.0,1.0,2.0,3.0,2.0,13.0,5.0,5.0,2.0,3.0,3.0,3.0,6.0,3.0,7.0,7.0,4.0,1.0,5.0,2.0,41.0,13.0,4.0,2.0,95.0,1.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,68.0,520.0,3120.0,500.0,1.0,0.0,1.0,0.0,1.0,0.09,219.0000066,9.0,30.0,6.0,9.0,22.0,8.0,11.0,7.0,29.0,36.0,31.0,13.0,3.0,25.0,5.0,20.0,28.0,25.0,26.0,30.0,31.0,37.0,27.0,27.0,0.0,29.0,18.0,15.0,17.0,16.0,23.0,22.0,1.0,10.0,10.0,14.0,61.0,71.0,61.0,130.0,31.0,32.0,0.410526316,0.0,5.0,2.5,2.0,6.5,2.5,3.133333333,3.0,2.0,5.0,5.0,5.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0
2.0,225.0,7404471.0,19.0,357.0,330.0,354.0,351.0,348.0,345.0,342.0,339.0,336.0,333.0,5.0,5.0,6.0,5.0,7.0,5.0,7.0,2.0,3.0,2.0,7.0,6.0,7.0,6.0,7.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,12.0,1.0,378.0,1.0,0.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,12.0,4.0,4.0,2.0,1.0,1.0,1.0,8.0,5.0,5.0,3.0,2.0,2.0,2.0,6.0,3.0,6.0,6.0,5.0,1.0,3.0,2.0,41.0,13.0,6.0,4.0,103.0,0.0,1.0,0.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,275.0,14799.0,50.0,1.0,1.0,3.0,0.0,1.0,0.125,213.99999530000002,9.0,28.0,11.0,14.0,13.0,15.0,16.0,12.0,33.0,36.0,35.0,10.0,21.0,22.0,23.0,17.0,30.0,7.0,26.0,32.0,27.0,37.0,34.0,29.0,0.0,31.0,5.0,2.0,4.0,3.0,26.0,25.0,1.0,12.0,8.0,14.0,31.0,39.0,31.0,39.0,0.0,28.0,0.106796117,0.106796117,6.5,6.0,4.0,5.0,5.0,2.733333333,4.0,3.666666667,4.0,4.0,5.0,3.25,0.0,1.0,0.0,1.0,1.0,3.0,6.6,0.484126984,1.0,0.0
106.0,2351.0,7596853.0,18.0,359.0,350.0,358.0,357.0,356.0,355.0,354.0,353.0,352.0,351.0,5.0,3.0,6.0,5.0,6.0,4.0,7.0,3.0,7.0,5.0,6.0,5.0,4.0,8.0,6.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,5.0,1.0,-1.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,2.0,10.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,2.0,1.0,73.0,10.0,7.0,5.0,85.0,1.0,0.0,0.0,0.0,7.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,84.0,2842.0,19898.0,1000.0,1.0,0.0,1.0,1.0,1.0,0.1,91.00000493,6.0,29.0,21.0,26.0,24.0,22.0,23.0,25.0,27.0,36.0,35.0,20.0,12.0,13.0,14.0,15.0,29.0,17.0,18.0,32.0,29.0,37.0,31.0,29.0,0.0,29.0,5.0,2.0,4.0,3.0,9.0,8.0,1.0,12.0,1.0,14.0,122.0,134.0,122.0,123.0,31.0,34.0,0.905882353,0.905882353,4.5,5.5,4.5,6.0,3.0,2.0,5.5,3.5,4.0,4.0,4.0,3.25,0.0,1.0,0.0,0.0,1.0,2.0,5.8,0.317460317,,0.0
912290173.0,2504.0,7483990.0,18.0,357.0,327.0,1063234.0,351.0,347.0,583.0,341.0,337.0,334.0,331.0,6.0,1.0,7.0,2.0,7.0,2.0,7.0,2.0,2.0,1.0,6.0,4.0,3.0,8.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,7.0,2.0,8.0,0.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,7.0,5.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,6.0,6.0,4.0,1.0,5.0,2.0,43.0,13.0,4.0,2.0,71.0,1.0,0.0,1.0,1.0,6.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,31.0,2000.0,12000.0,700.0,0.0,1.0,1.0,1.0,0.0,0.23,149.0,19.0,32.0,21.0,25.0,26.0,23.0,24.0,22.0,30.0,36.0,35.0,4.0,9.0,10.0,11.0,2.0,33.0,6.0,7.0,27.0,31.0,37.0,34.0,29.0,0.0,28.0,15.0,12.0,14.0,13.0,18.0,17.0,1.0,10.0,14.0,14.0,61.0,75.0,61.0,130.0,61.0,63.0,0.169014085,0.0,7.0,6.5,6.0,4.5,2.0,3.6,4.0,3.833333333,5.0,3.0,5.0,2.75,0.0,0.0,1.0,0.0,1.0,3.0,8.0,0.650793651,-1.0,0.0
