Participant_ID,RowNumber,session_id,age,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,gender,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,kposition,kratio,lposition,lratio,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nposition,nratio,pate_01,pate_02,pate_03,pate_04,pate_05,rposition,rratio,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,vposition,vratio,year,Temperatureinlab,ClipboardWeight,IIResponse,SRConfidenceResponse,NumberofDays,Pool2a,Pool2b,Pool2c,Pool2d,Pool3,Pool4,Pool5a,Pool6,Pool7b,Pool7c,Pool7d,Pool8,Pool9,Pool10,Pool11,Pool12,Pool13,Pool14,Pool15,Pool16a,Pool16b,Pool17,Pool18,Pool19a,Pool19b,Persistence,anagrams_order,attention_order,availinstruct_order,availk_order,availl_order,availn_order,availr_order,availv_order,bigfive_order,debrief_order,demographics_order,elmques_order,filler1_order,filler2_order,galinskyvignette_order,inlab_order,intrinsic_order,mcfiller_order,moninvignette_order,mood_order,nfc_order,participantid_order,participation_order,selfesteem_order,startpage_order,stress_order,stroop_order,stroopinstructions_order,stroopinstructionstest_order,stroopprac_order,tempestimate_order,tempfollowup_order,welcome_order,MonthComputer,DayComputer,YearComputer,DaysSinceMonthComputer,DaysSinceAugComputer,DaysSinceMonthLab,DaysSinceAugLab,DaysSinceMonthStart,DaysSinceAugStart,DaysInComp,DaysInLab,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Intrinsic,Mood,NFC,ReportedAttention,ReportedEffort,SelfEsteem,Stress,K1st,L1st,N1st,R1st,V1st,AvailFirst,ArgumentQuality,NFCcenter,ELMCond,CBReject
12,170,7385046,19,357,330,354,351,348,345,342,339,336,333,5,3,6,5,5,3,5,1,5,5,7,7,7,6,6,1,3,2,2,3,2,2,3,3,3,3,3,3,3,2,3,2,14,2,18,0,3,1,0,2,3,3,3,4,4,3,2,3,1,6,4,4,1,1,1,2,15,4,4,3,2,3,4,6,2,7,7,6,1,3,2,74,20,6,5,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,113.0000025,17,28,7,12,11,8,9,10,33,36,35,26,22,23,24,16,30,14,15,32,29,37,34,31,0,27,6,3,5,4,20,19,1,8,29,14,0,29,0,29,0,25,0.043478261,0.043478261,4,6.5,5,5,4,2.666666667,5,2.5,4,4,4,3.5,0,0,1,0,1,2,6.6,-0.682539683,1,0
13,173,7385155,18,357,330,354,351,348,345,342,339,336,333,3,5,7,7,2,7,2,1,1,7,9,9,9,9,9,1,1,1,1,4,3,4,4,4,4,4,3,2,4,1,4,2,4,2,8654,0,2,1,0,1,1,1,1,2,5,1,3,2,1,1,5,5,1,1,2,1,8,3,1,4,2,2,5,6,4,7,7,1,1,8,1,74,10,7,5,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,153.9999989,2,30,13,16,18,17,14,15,32,36,35,5,20,21,22,23,28,25,26,33,27,37,31,29,0,34,9,6,8,7,12,11,1,8,29,14,0,29,0,29,0,25,0.043478261,0.043478261,1.5,7,2,2.5,7,2.533333333,7,2.333333333,5,5,1,4.25,0,0,1,1,1,3,9,-0.849206349,1,0
14,179,7391990,18,357,130,354,351,248,245,242,139,136,133,7,6,7,5,7,3,7,1,7,2,9,9,9,9,7,1,2,2,1,4,3,2,2,4,4,4,4,3,4,2,4,2,30,2,30,3,3,2,1,1,2,1,5,5,1,5,5,5,2,30,4,5,1,1,1,2,30,1,7,1,5,5,3,7,3,7,7,6,2,30,1,72,20,7,5,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,239.9999932,26,29,20,24,25,22,23,21,27,36,35,19,7,8,9,16,28,14,15,33,30,37,32,34,0,31,5,2,4,3,12,11,1,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,6.5,7,6,4.5,3,3.133333333,6.5,3.666666667,4,5,7,1.5,0,0,0,0,0,0,8.6,0.484126984,1,0
15,180,7392153,18,357,330,354,351,348,345,342,339,336,333,7,4,5,5,5,1,7,3,5,2,5,6,5,5,5,1,2,1,1,2,1,2,3,3,2,3,2,2,3,3,3,2,3,2,7,0,3,1,0,1,3,2,4,4,4,1,1,1,2,4,4,3,1,1,2,1,3,3,2,5,2,2,4,4,2,6,6,5,2,5,1,73,10,7,4,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,79.00000401,6,28,14,19,17,16,15,18,34,36,35,25,21,22,23,10,33,8,9,30,27,37,29,32,0,31,5,2,4,3,13,12,1,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,5.5,5,7,5.5,4,2.2,5.5,2.5,4,3,2,4.25,0,0,0,1,0,1,5.2,-0.682539683,1,0
16,185,7392233,18,357,330,354,351,348,345,342,339,336,333,5,5,7,3,6,5,7,2,5,3,5,3,6,3,4,1,3,3,2,3,4,2,2,4,2,3,2,1,2,2,3,1,3,2,35,0,2,2,1,1,2,2,2,2,2,3,4,2,2,20,5,5,1,1,2,2,40,6,5,3,4,4,2,6,2,7,7,7,2,30,1,73,20,7,4,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,240.0000014,6,30,21,23,25,24,26,22,34,36,35,19,9,10,11,20,29,16,17,33,31,37,27,32,0,28,5,2,4,3,14,13,1,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,5.5,6.5,4,5,3,2.666666667,6,3.5,5,5,5,2.25,1,0,0,0,0,1,4.2,0.317460317,1,0
17,195,7392698,24,357,330,354,351,348,345,342,339,336,333,6,5,3,2,6,5,2,3,6,5,7,8,5,4,4,2,2,3,2,4,2,4,3,4,3,3,2,2,4,2,4,2,10,1,10,-2,1,2,4,4,3,3,4,3,4,2,3,2,1,10,2,4,1,1,3,1,10,2,5,4,3,4,3,6,4,6,5,4,2,10,2,73,10,2,4,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,151.9999947,18,30,11,15,14,13,16,12,28,36,35,3,20,21,22,4,27,9,10,32,33,37,29,31,0,34,26,23,25,24,7,6,1,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,4.5,4,4.5,2.5,2,2.666666667,5,3,2,4,5,3,0,1,1,1,0,3,5.6,-0.182539683,1,0
19,197,7392875,18,357,330,354,351,348,345,342,339,336,333,3,4,5,6,3,5,2,1,4,5,6,7,5,6,7,1,3,3,3,4,4,3,3,4,4,2,1,1,4,4,2,1,7,1,13,1,2,2,0,2,6,6,4,1,2,5,4,2,2,14,4,4,1,1,2,2,20,3,2,5,3,2,4,5,3,6,7,5,2,20,1,73,10,6,5,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,240.000002,9,27,14,18,19,15,17,16,28,36,35,3,24,25,26,10,32,12,13,30,33,37,34,31,0,29,8,5,7,6,22,21,1,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,3,6,3,3,5,2.866666667,2,4.333333333,4,4,2,4,1,1,0,0,0,2,6.2,1.150793651,-1,0
20,201,7397218,19,357,330,354,351,348,345,342,339,336,333,3,5,4,5,5,5,5,2,6,4,7,7,8,7,8,2,2,1,1,3,2,3,3,3,2,3,3,2,2,2,4,1,5,2,8,-1,-1,1,0,1,4,4,2,4,3,2,3,2,2,10,4,4,1,1,2,1,10,5,5,3,4,3,3,6,3,7,7,6,2,5,1,74,20,6,5,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,240.000002,17,27,11,13,14,12,16,15,31,36,35,3,20,21,22,18,32,5,6,30,34,37,29,33,0,28,10,7,9,8,25,24,1,9,4,14,31,35,31,35,0,25,0.108695652,0.108695652,4.5,5,3,4,3.5,2.266666667,4,2.666666667,4,4,5,2.75,1,0,0,1,0,2,7.4,-0.515873016,1,0
21,205,7397377,20,357,330,354,351,348,345,342,339,336,333,6,5,5,2,5,3,6,3,4,2,7,8,7,6,6,1,2,3,3,3,2,3,2,3,3,2,2,3,3,2,3,1,3,1,2,0,-1,2,0,2,2,2,3,2,4,3,3,4,1,4,3,4,1,4,1,1,4,3,4,2,4,4,2,6,3,6,6,6,1,2,2,75,10,6,5,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,221.0000026,19,27,2,6,3,4,7,5,31,36,35,25,9,10,11,20,34,13,14,28,29,37,30,33,0,32,18,15,17,16,23,22,1,9,4,14,31,35,31,35,0,25,0.108695652,0.108695652,5.5,5,5.5,4.5,3,2.6,6,2.833333333,3,4,4,2,1,1,1,1,1,5,6.8,-0.349206349,-1,1
22,209,7397497,18,357,330,354,351,348,245,342,339,336,333,7,3,7,3,4,1,6,3,3,2,6,3,1,4,5,1,3,3,3,4,2,2,2,3,4,2,3,1,3,3,4,2,15,1,8,1,2,2,0,1,5,5,3,2,4,3,4,4,2,11,4,5,1,1,2,1,8,5,5,3,3,4,4,4,2,6,6,4,2,12,1,75,20,7,4,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,155.0000017,2,33,14,15,17,19,18,16,30,36,35,8,11,12,13,23,31,21,22,32,34,37,28,29,0,27,6,3,5,4,26,25,1,9,4,14,31,35,31,35,0,25,0.108695652,0.108695652,5,6,7,5.5,4,2.933333333,3,3,4,5,5,3,0,1,0,1,0,2,3.8,-0.182539683,-1,0
