Site,Participant_ID,RowNumber,session_id,age,backcount1,backcount10,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,ethnicity,gender,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,kposition,kratio,lposition,lratio,major,mcdv1,mcdv2,mcfiller1,mcfiller2,mcfiller3,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,nposition,nratio,pate_01,pate_02,pate_03,pate_04,pate_05,rposition,rratio,sarcasm,selfesteem_01,stress_01,stress_02,stress_03,stress_04,tempest1,tempest2,tempest3,tempfollowup1,tempfollowup2,tempfollowup3,vposition,vratio,year,Station,Date.x,Experimenter,Temperatureinlab,OrderofTasks,ClipboardWeight,IIResponse,SRCondition,SRMeetingResponse,SRConfidenceResponse,StartDate.x,EndDate,NumberofDays,Pool2a,Pool2b,Pool2c,Pool2d,Pool3,Pool4,Pool5a,Pool6,Pool7b,Pool7c,Pool7d,Pool8,Pool9,Pool10,Pool11,Pool12,Pool13,Pool14,Pool15,Pool16a,Pool16b,Pool17,Pool18,Pool19a,Pool19b,ClipBoardMaterial,Persistence,anagrams_order,attention_order,availinstruct_order,availk_order,availl_order,availn_order,availr_order,availv_order,bigfive_order,debrief_order,demographics_order,elmques_order,filler1_order,filler2_order,galinskyvignette_order,inlab_order,intrinsic_order,mcfiller_order,moninvignette_order,mood_order,nfc_order,participantid_order,participation_order,selfesteem_order,startpage_order,stress_order,stroop_order,stroopinstructions_order,stroopinstructionstest_order,stroopprac_order,tempestimate_order,tempfollowup_order,welcome_order,DateComputer,TimeComputer,MonthComputer,DayComputer,YearComputer,DaysSinceMonthComputer,DaysSinceAugComputer,DaysSinceMonthLab,DaysSinceAugLab,DaysSinceMonthStart,DaysSinceAugStart,DaysInComp,DaysInLab,AttentionCheck,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Intrinsic,Mood,NFC,ReportedAttention,ReportedEffort,SelfEsteem,Stress,PowerCond,CredCond,Genderfactor,SubDistCond,K1st,L1st,N1st,R1st,V1st,AvailFirst,AvailSign,TempCond4,TempCond,TargetGender,ArgumentQuality,NFCcenter,ELMCond,CBReject
AshlandUniversity,10,2741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8/29/2014,ANK,72,II-SR,20,7,B,Friday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,0,25,,0.043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AshlandUniversity,11,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8/29/2014,ANK,72,SR-II,10,7,C,Monday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,0,25,,0.043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AshlandUniversity,12,170,7385046,19,357,330,354,351,348,345,342,339,336,333,5,3,6,5,5,3,5,1,5,5,7,7,7,6,6,7,1,3,2,2,3,2,2,3,3,3,3,3,3,3,2,3,2,14,2,18,Exercise Science,0,3,1,0,2,3,3,3,4,4,3,2,3,1,6,4,4,1,1,1,2,15,4,4,3,2,3,4,room temperature,6,2,7,7,6,1,3,2,1,8/29/2014,ANK,74,SR-II,20,6,C,Monday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,113.0000025,17,28,7,12,11,8,9,10,33,36,35,26,22,23,24,16,30,14,15,32,29,37,34,31,0,27,6,3,5,4,20,19,1,8/29/2014,14:25,8,29,14,0,29,0,29,0,25,0.043478261,0.043478261,Pass,4,6.5,5,5,4,2.666666667,5,2.5,4,4,4,3.5,HighPower,NoCredentials,Female,BestGrade,0,0,1,0,1,2,-,CommunalMale,Communal,MaleTarget,6.6,-0.682539683,1,0
AshlandUniversity,13,173,7385155,18,357,330,354,351,348,345,342,339,336,333,3,5,7,7,2,7,2,1,1,7,9,9,9,9,9,6,1,1,1,1,4,3,4,4,4,4,4,3,2,4,1,4,2,4,2,8654,exercise science,0,2,1,0,1,1,1,1,2,5,1,3,2,1,1,5,5,1,1,2,1,8,3,1,4,2,2,5,75,6,4,7,7,1,1,8,1,1,8/29/2014,ANK,74,II-SR,10,7,A,Monday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,153.9999989,2,30,13,16,18,17,14,15,32,36,35,5,20,21,22,23,28,25,26,33,27,37,31,29,0,34,9,6,8,7,12,11,1,8/29/2014,15:07,8,29,14,0,29,0,29,0,25,0.043478261,0.043478261,Pass,1.5,7,2,2.5,7,2.533333333,7,2.333333333,5,5,1,4.25,HighPower,Credentials,Female,WorstGrade,0,0,1,1,1,3,+,CommunalMale,Communal,MaleTarget,9,-0.849206349,1,0
AshlandUniversity,14,179,7391990,18,357,130,354,351,248,245,242,139,136,133,7,6,7,5,7,3,7,1,7,2,9,9,9,9,7,6,1,2,2,1,4,3,2,2,4,4,4,4,3,4,2,4,2,30,2,30,Nursing,3,3,2,1,1,2,1,5,5,1,5,5,5,2,30,4,5,1,1,1,2,30,1,7,1,5,5,3,72 degrees F,7,3,7,7,6,2,30,1,1,9/2/2014,ERS,72,II-SR,20,7,A,Friday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,239.9999932,26,29,20,24,25,22,23,21,27,36,35,19,7,8,9,16,28,14,15,33,30,37,32,34,0,31,5,2,4,3,12,11,1,9/2/2014,13:32,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,Pass,6.5,7,6,4.5,3,3.133333333,6.5,3.666666667,4,5,7,1.5,HighPower,Credentials,Female,WorstGrade,0,0,0,0,0,0,-,AgenticFemale,Agentic,FemaleTarget,8.6,0.484126984,1,0
AshlandUniversity,15,180,7392153,18,357,330,354,351,348,345,342,339,336,333,7,4,5,5,5,1,7,3,5,2,5,6,5,5,5,6,1,2,1,1,2,1,2,3,3,2,3,2,2,3,3,3,2,3,2,7,nursing,0,3,1,0,1,3,2,4,4,4,1,1,1,2,4,4,3,1,1,2,1,3,3,2,5,2,2,4,70,4,2,6,6,5,2,5,1,1,9/2/2014,ERS,73,SR-II,10,7,B,Friday,4,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,79.00000401,6,28,14,19,17,16,15,18,34,36,35,25,21,22,23,10,33,8,9,30,27,37,29,32,0,31,5,2,4,3,13,12,1,9/2/2014,14:01,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,Fail,5.5,5,7,5.5,4,2.2,5.5,2.5,4,3,2,4.25,HighPower,NoCredentials,Female,WorstGrade,0,0,0,1,0,1,-,CommunalMale,Communal,MaleTarget,5.2,-0.682539683,1,0
AshlandUniversity,16,185,7392233,18,357,330,354,351,348,345,342,339,336,333,5,5,7,3,6,5,7,2,5,3,5,3,6,3,4,6,1,3,3,2,3,4,2,2,4,2,3,2,1,2,2,3,1,3,2,35,Psychology,0,2,2,1,1,2,2,2,2,2,3,4,2,2,20,5,5,1,1,2,2,40,6,5,3,4,4,2,70,6,2,7,7,7,2,30,1,1,9/2/2014,ERS,73,SR-II,20,7,B,Monday,4,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,240.0000014,6,30,21,23,25,24,26,22,34,36,35,19,9,10,11,20,29,16,17,33,31,37,27,32,0,28,5,2,4,3,14,13,1,9/2/2014,15:07,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,Pass,5.5,6.5,4,5,3,2.666666667,6,3.5,5,5,5,2.25,LowPower,NoCredentials,Female,BestGrade,1,0,0,0,0,1,-,CommunalMale,Communal,MaleTarget,4.2,0.317460317,1,0
AshlandUniversity,17,195,7392698,24,357,330,354,351,348,345,342,339,336,333,6,5,3,2,6,5,2,3,6,5,7,8,5,4,4,Arab,2,2,3,2,4,2,4,3,4,3,3,2,2,4,2,4,2,10,1,10,Chemistry,-2,1,2,4,4,3,3,4,3,4,2,3,2,1,10,2,4,1,1,3,1,10,2,5,4,3,4,3,25 degrees,6,4,6,5,4,2,10,2,1,9/2/2014,ANK,73,II-SR,10,2,C,Friday,4,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,151.9999947,18,30,11,15,14,13,16,12,28,36,35,3,20,21,22,4,27,9,10,32,33,37,29,31,0,34,26,23,25,24,7,6,1,9/2/2014,17:11,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,Fail,4.5,4,4.5,2.5,2,2.666666667,5,3,2,4,5,3,HighPower,Credentials,Male,BestGrade,0,1,1,1,0,3,+,AgenticFemale,Agentic,FemaleTarget,5.6,-0.182539683,1,0
AshlandUniversity,18,2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9/2/2014,ANK,73,II-SR,20,7,C,Monday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,33,0,25,,0.086956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AshlandUniversity,19,197,7392875,18,357,330,354,351,348,345,342,339,336,333,3,4,5,6,3,5,2,1,4,5,6,7,5,6,7,6,1,3,3,3,4,4,3,3,4,4,2,1,1,4,4,2,1,7,1,13,Pre-med,1,2,2,0,2,6,6,4,1,2,5,4,2,2,14,4,4,1,1,2,2,20,3,2,5,3,2,4,76,5,3,6,7,5,2,20,1,1,9/2/2014,ANK,73,SR-II,10,6,A,Friday,5,8/25/2014,11/25/2014,92,1,0,0,0,3,0.25,0,0,0,0,0,1,1,1,3,15,160,500,30,1,0,1,0,1,0.125,Plastic,240.000002,9,27,14,18,19,15,17,16,28,36,35,3,24,25,26,10,32,12,13,30,33,37,34,31,0,29,8,5,7,6,22,21,1,9/2/2014,18:13,9,2,14,31,33,31,33,0,25,0.086956522,0.086956522,Pass,3,6,3,3,5,2.866666667,2,4.333333333,4,4,2,4,LowPower,NoCredentials,Female,BestGrade,1,1,0,0,0,2,-,AgenticMale,Agentic,MaleTarget,6.2,1.150793651,-1,0
