Features,RandomTrees,SVM,,,RandomTrees with prediction,,Features,RandomTrees_updated,SVM_updated,RandomTrees with prediction_updated,Ridge,Lasso
Participant_ID,0.131524008,0.083507307,,,0.131524008,,Participant_ID,0.131524008,0.083507307,0.131524008,3.24E+174,3.70E+174
RowNumber,0.146137787,0,,,0.146137787,,RowNumber,0.146137787,0,0.146137787,1.56E+163,1.34E+163
session_id,0.008350731,0,,,0.008350731,,session_id,0.008350731,0,0.008350731,7.95E+166,1.23E+168
age,0.565762004,0,,,0.565762004,,age,0.565762004,0,0.565762004,8.10E+160,8.76E+159
backcount1,0,0,,,0,,backcount1,0,0,0,1.11E+166,1.11E+166
backcount10,0.549060543,0,,,0.549060543,,backcount10,0.549060543,0,0.549060543,6.68E+163,7.10E+163
backcount2,0.818371608,0.920668058,,,0.818371608,,backcount2,0.736534447,0.828601253,0.736534447,1.55E+164,1.91E+164
backcount3,0.8434238,0,,,0.8434238,,backcount3,0.75908142,0,0.75908142,5.42E+165,5.41E+165
backcount4,0.797494781,0,,,0.797494781,,backcount4,0.797494781,0,0.797494781,1.70E+164,1.69E+164
backcount5,0.826722338,0.860125261,,,0.826722338,,backcount5,0.744050104,0.774112735,0.744050104,3.12E+162,3.39E+162
backcount6,0.862212944,0,,,0.862212944,,backcount6,0.775991649,0,0.775991649,4.16E+166,4.06E+166
backcount7,0.797494781,0,,,0.797494781,,backcount7,0.797494781,0,0.797494781,4.92E+165,3.27E+165
backcount8,0.864300626,0,,,0.864300626,,backcount8,0.777870564,0,0.777870564,3.19E+166,3.17E+166
backcount9,0.881002088,0,,,0.881002088,,backcount9,0.792901879,0,0.792901879,5.56E+162,4.62E+162
big5_01,0.951983299,0.419624217,,,0.951983299,,big5_01,0.856784969,0.419624217,0.856784969,3.64E+156,1.10E+158
big5_02,0.926931106,0.39874739,,,0.933194154,,big5_02,0.834237996,0.39874739,0.839874739,1.41E+150,6.68E+158
big5_03,0.933194154,0.459290188,,,0.931106472,,big5_03,0.839874739,0.459290188,0.837995825,2.72E+150,4.57E+159
big5_04,0.908141962,0.39874739,,,0.908141962,,big5_04,0.817327766,0.39874739,0.817327766,4.38E+148,9.51E+158
big5_05,0.929018789,0.448851775,,,0.931106472,,big5_05,0.83611691,0.448851775,0.837995825,2.19E+150,3.64E+159
big5_06,0.88308977,0.35908142,,,0.897703549,,big5_06,0.794780793,0.35908142,0.807933194,5.78E+156,2.67063E+12
big5_07,0.954070981,0.482254697,,,0.951983299,,big5_07,0.858663883,0.482254697,0.856784969,2.24E+151,8.96911E+13
big5_08,0.939457203,0.409185804,,,0.933194154,,big5_08,0.845511482,0.409185804,0.839874739,4.19E+150,2.78E+158
big5_09,0.920668058,0.375782881,,,0.924843424,,big5_09,0.828601253,0.375782881,0.832359081,9.78E+149,553708509.2
big5_10,0.941544885,0.329853862,,,0.93736952,,big5_10,0.847390397,0.329853862,0.843632568,7.12E+148,2262118842
elm_01,0.319415449,0.313152401,,,0.329853862,,elm_01,0.319415449,0.313152401,0.329853862,1.31E+160,1.67E+158
elm_02,0.388308977,0.296450939,,,0.388308977,,elm_02,0.388308977,0.296450939,0.388308977,1.73E+159,2.51E+157
elm_03,0.39874739,0.317327766,,,0.407098121,,elm_03,0.39874739,0.317327766,0.407098121,8.25E+159,1.17E+158
elm_04,0.411273486,0.231732777,,,0.409185804,,elm_04,0.411273486,0.231732777,0.409185804,2.73E+159,5.82E+159
elm_05,0.373695198,0.340292276,,,0.356993737,,elm_05,0.373695198,0.340292276,0.356993737,2.30E+157,6.87E+159
gender,0.713987474,0.768267223,,,0.711899791,,gender,0.713987474,0.768267223,0.711899791,8.82E+158,101697389.1
intrinsic_01,0.528183716,0.647181628,,,0.528183716,,intrinsic_01,0.528183716,0.647181628,0.528183716,1.62E+158,1.41E+155
intrinsic_02,0.505219207,0.645093946,,,0.509394572,,intrinsic_02,0.505219207,0.645093946,0.509394572,1.31E+159,132917683.5
intrinsic_03,0.509394572,0.553235908,,,0.524008351,,intrinsic_03,0.509394572,0.553235908,0.524008351,6.94E+157,1240204400
intrinsic_04,0.39874739,0.582463466,,,0.409185804,,intrinsic_04,0.39874739,0.582463466,0.409185804,2.09E+157,1020623067
intrinsic_05,0.457202505,0.519832985,,,0.457202505,,intrinsic_05,0.457202505,0.519832985,0.457202505,4.78E+158,2001712615
intrinsic_06,0.457202505,0.505219207,,,0.463465553,,intrinsic_06,0.457202505,0.505219207,0.463465553,3.10E+159,4.53E+158
intrinsic_07,0.45302714,0.536534447,,,0.455114823,,intrinsic_07,0.45302714,0.536534447,0.455114823,6.00E+158,268084639.6
intrinsic_08,0.413361169,0.603340292,,,0.417536534,,intrinsic_08,0.413361169,0.603340292,0.417536534,5.66E+158,2.1319E+12
intrinsic_09,0.409185804,0.471816284,,,0.400835073,,intrinsic_09,0.409185804,0.471816284,0.400835073,1.74E+158,1622349611
intrinsic_10,0.350730689,0.680584551,,,0.342379958,,intrinsic_10,0.350730689,0.680584551,0.342379958,5.17E+157,6234219787
intrinsic_11,0.371607516,0.513569937,,,0.386221294,,intrinsic_11,0.371607516,0.513569937,0.386221294,6.88E+159,11194182.46
intrinsic_12,0.409185804,0.465553236,,,0.419624217,,intrinsic_12,0.409185804,0.465553236,0.419624217,1.13E+159,1.55E+157
intrinsic_13,0.371607516,0.60960334,,,0.350730689,,intrinsic_13,0.371607516,0.60960334,0.350730689,3.71E+158,1426371928
intrinsic_14,0.340292276,0.442588727,,,0.352818372,,intrinsic_14,0.340292276,0.442588727,0.352818372,5.74E+158,7.00E+158
intrinsic_15,0.444676409,0.643006263,,,0.43006263,,intrinsic_15,0.444676409,0.643006263,0.43006263,2.27E+158,6501990161
kposition,0.962421712,0.964509395,,,0.962421712,,kposition,0.866179541,0.868058455,0.866179541,3.56E+156,151541111
kratio,0.129436326,0.129436326,,,0.131524008,,kratio,0.129436326,0.129436326,0.131524008,1.30E+163,1.25E+163
lposition,0.924843424,0.96868476,,,0.947807933,,lposition,0.832359081,0.871816284,0.85302714,1.27E+159,182872886.5
lratio,0.135699374,0.135699374,,,0.152400835,,lratio,0.135699374,0.135699374,0.152400835,5.61E+161,7.27E+161
mcdv1,0.678496868,0.693110647,,,0.682672234,,mcdv1,0.678496868,0.693110647,0.682672234,1.95E+159,6.65E+157
mcdv2,0.204592902,0.411273486,,,0.223382046,,mcdv2,0.204592902,0.411273486,0.223382046,9.65E+159,5.97E+159
mcfiller1,0.565762004,0.599164927,,,0.563674322,,mcfiller1,0.565762004,0.599164927,0.563674322,1.15E+157,318879023.9
mcfiller2,0.60125261,0.605427975,,,0.590814196,,mcfiller2,0.60125261,0.605427975,0.590814196,3.87E+159,1.50E+159
mcfiller3,0.682672234,0.713987474,,,0.699373695,,mcfiller3,0.682672234,0.713987474,0.699373695,1.47E+159,2.50E+157
mood_01,0.901878914,0.576200418,,,0.910229645,,mood_01,0.811691023,0.576200418,0.819206681,2.71E+156,1052559955
mood_02,0.926931106,0.534446764,,,0.933194154,,mood_02,0.834237996,0.534446764,0.839874739,8.94E+158,593285193
nfc_01,0.369519833,0.448851775,,,0.363256785,,nfc_01,0.369519833,0.448851775,0.363256785,7.45E+156,4.24167E+13
nfc_02,0.488517745,0.536534447,,,0.507306889,,nfc_02,0.488517745,0.536534447,0.507306889,1.82E+158,8.18E+157
nfc_03,0.346555324,0.521920668,,,0.344467641,,nfc_03,0.346555324,0.521920668,0.344467641,9.84E+156,9.27E+158
nfc_04,0.411273486,0.526096033,,,0.415448852,,nfc_04,0.411273486,0.526096033,0.415448852,1.76E+157,1123454140
nfc_05,0.419624217,0.459290188,,,0.4217119,,nfc_05,0.419624217,0.459290188,0.4217119,1.91E+158,1.52E+159
nfc_06,0.405010438,0.444676409,,,0.423799582,,nfc_06,0.405010438,0.444676409,0.423799582,2.66E+158,1.66E+159
nposition,0.920668058,0.956158664,,,0.924843424,,nposition,0.828601253,0.860542797,0.832359081,4.16E+157,272908815
nratio,0.133611691,0.133611691,,,0.129436326,,nratio,0.133611691,0.133611691,0.129436326,5.33E+161,5.26E+161
